query,intent
find me a job,job_recommendation
networking events,networking_event
Who do I need to seek approval approve for my intern application,faq
who are coordinators,faq
job openings,job_recommendation
upcoming career fairs,networking_event
job search,job_recommendation
events this week,networking_event
application process,faq
career fairs,networking_event
jobs for developers,job_recommendation
I need a job,job_recommendation
where can I find networking events,networking_event
what is intern,faq
latest job listings,job_recommendation
looking for jobs,job_recommendation
events happening soon,networking_event
how do I submit my intern application,faq
local networking events,networking_event
show me jobs,job_recommendation
networking opportunities,networking_event
why do i need to intern,faq
open positions,job_recommendation
any career fairs,networking_event
seeking job opportunities,job_recommendation
upcoming industry events,networking_event
How can I / way find a suitable suitable intern?,faq
tech job fairs,networking_event
vacancies for developers,job_recommendation
help me find a job,job_recommendation
where to find networking events,networking_event
who are intern coordinators,faq
find job vacancies,job_recommendation
what events,networking_event
job hunting,job_recommendation
what events this month,networking_event
how to apply for intern,faq
event,networking_event
career fairs,networking_event
find me java backend jobs,job_recommendation
find me uiux jobs,job_recommendation
What is intern?,faq
Why do I need to intern?,faq
Who do I need to seek approval for my internship?,faq
Where can I intern?,faq
What is the duration of intern?,faq
How long do I need to intern?,faq
How do I calculate the duration of intern?,faq
Where can I apply for internship?,faq
Can I apply multiple companies for placement?,faq
who are department coordinator,faq
why I need intern?,faq
what events,networking_event
what career fairs,networking_event
what is happening,networking_event
I wanna know about networking events,networking_event
recommend me jobs,job_recommendation
suggest me positions,job_recommendation
What happens if I take medical leave?,faq
What are the assessments for intern?,faq
internship fair,networking_event
networking events coming soon,networking_event
Im interested in web development jobs,job_recommendation
Im interested in mobile development jobs,job_recommendation
Im interested in python,job_recommendation
software testing jobs,job_recommendation
Hi there,greet
Hello,greet
Hey,greet
Good morning!,greet
Good afternoon!,greet
Good evening!,greet
Hi,greet
What's up?,greet
Greetings!,greet
Hi!,greet
"Hey, how are you?",greet
"Hi, how's it going?",greet
Hello there!,greet
"Hi, can you help me?",greet
"Hello, anyone there?",greet
"Hey, what's new?",greet
"Hi, what's up?",greet
"Hey, can we chat?",greet
"Hi, can you assist me?",greet
"Hello, I need help.",greet
Goodbye!,bye
See you later!,bye
Bye!,bye
Talk to you later!,bye
Take care!,bye
See ya!,bye
Bye for now!,bye
Later!,bye
Peace out!,bye
Have a great day!,bye
I have to go now.,bye
Catch you later!,bye
Until next time!,bye
I'm off now.,bye
See you around!,bye
"Bye, take care!",bye
I'm leaving now.,bye
